,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,11, 0, 1, 0, 1, 0, 1, 1, 5, 0
automobile,0, 2, 3, 2, 1, 0, 2, 0, 4, 0
bird,3, 0, 10, 1, 4, 1, 1, 0, 1, 0
cat,1, 0, 7, 5, 1, 3, 1, 0, 0, 1
deer,2, 0, 2, 0, 7, 0, 2, 1, 1, 0
dog,0, 0, 5, 5, 5, 2, 0, 0, 1, 0
frog,0, 0, 6, 1, 10, 0, 9, 0, 0, 0
horse,2, 1, 1, 0, 6, 2, 1, 2, 1, 2
ship,2, 1, 1, 3, 0, 0, 0, 0, 21, 0
truck,2, 1, 0, 2, 2, 0, 0, 0, 12, 2
Acc: 35.5%
Time(sec): 36
