,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,12, 0, 2, 0, 0, 0, 1, 0, 4, 1
automobile,0, 3, 3, 2, 1, 0, 1, 0, 4, 0
bird,4, 0, 9, 2, 4, 2, 0, 0, 0, 0
cat,1, 0, 5, 6, 3, 1, 2, 0, 0, 1
deer,3, 0, 3, 1, 7, 0, 0, 0, 1, 0
dog,2, 0, 4, 2, 5, 2, 2, 0, 1, 0
frog,0, 0, 5, 1, 10, 0, 10, 0, 0, 0
horse,2, 0, 3, 0, 4, 1, 4, 1, 2, 1
ship,1, 1, 0, 3, 0, 0, 0, 0, 23, 0
truck,2, 1, 0, 0, 3, 0, 3, 2, 9, 1
Acc: 37%
Time(sec): 142
