,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,7, 0, 0, 0, 0, 0, 1, 0, 1, 1
automobile,0, 1, 0, 0, 1, 0, 1, 0, 3, 0
bird,1, 0, 4, 0, 2, 1, 0, 0, 0, 0
cat,0, 0, 2, 3, 2, 1, 1, 0, 0, 1
deer,2, 0, 2, 0, 2, 0, 0, 0, 1, 0
dog,1, 0, 3, 2, 1, 0, 1, 0, 0, 0
frog,0, 0, 3, 0, 8, 0, 5, 0, 0, 0
horse,2, 0, 2, 0, 3, 0, 2, 0, 1, 1
ship,0, 1, 0, 0, 0, 0, 0, 0, 12, 0
truck,0, 0, 0, 0, 2, 0, 2, 1, 6, 0
Acc: 34%
Time(sec): 65
