,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0, 0, 0, 1, 1, 0, 8, 0, 0, 0
automobile,0, 0, 0, 1, 3, 0, 2, 0, 0, 0
bird,0, 3, 0, 0, 0, 0, 5, 0, 0, 0
cat,0, 1, 0, 0, 2, 1, 3, 1, 0, 2
deer,0, 0, 0, 1, 0, 0, 4, 1, 0, 1
dog,0, 0, 0, 0, 2, 0, 5, 0, 0, 1
frog,0, 2, 1, 0, 4, 1, 7, 0, 0, 1
horse,1, 1, 0, 1, 1, 0, 6, 0, 0, 1
ship,0, 0, 0, 0, 1, 0, 12, 0, 0, 0
truck,0, 0, 0, 0, 0, 0, 9, 0, 0, 2
Acc: 9%
Time(sec): 1
